Case 1:
GkpcAfiM jKQrnj (2335)
jKQrnj h (4828)
* Query 4
uRiw kdvWsIcVIP (233)
kdvWsIcVIP HUAmUCnSGm (566)
HUAmUCnSGm eJyf (234)
eJyf DLJAyj (1452)
* Query 5
kdvWsIcVIP HUAmUCnSGm (566)
HUAmUCnSGm eJyf (234)
* Query 6
GVuPG eJyf (1332)
Case 20:
* Query 1
iGQw ZGDe (9262)
ZGDe D (3395)
* Query 2
SVEvJ xLr (1358)
xLr D (4114)
D ZGDe (3395)
ZGDe iGQw (9262)
* Query 3
AiTJCfhq pPyhKpu (843)
pPyhKpu xLr (526)
xLr D (4114)
D ZGDe (3395)
ZGDe iGQw (9262)
* Query 4
ZGDe D (3395)
D xLr (4114)
xLr pPyhKpu (526)
pPyhKpu AiTJCfhq (843)
AiTJCfhq hoteUsTtp (3569)
* Query 5
AiTJCfhq pPyhKpu (843)
pPyhKpu xLr (526)
* Query 6
pPyhKpu xLr (526)
xLr D (4114)
* Query 7
iGQw ZGDe (9262)
ZGDe nEiQ (1830)
* Query 8
AiTJCfhq hoteUsTtp (3569)
* Query 9
D ZGDe (3395)
ZGDe iGQw (9262)
* Query 10
hoteUsTtp AiTJCfhq (3569)
* Query 11
iGQw ZGDe (9262)
ZGDe nEiQ (1830)
* Query 12
hoteUsTtp AiTJCfhq (3569)
AiTJCfhq pPyhKpu (843)
pPyhKpu xLr (526)
xLr D (4114)
* Query 13
hoteUsTtp AiTJCfhq (3569)
AiTJCfhq pPyhKpu (843)
pPyhKpu xLr (526)
xLr D (4114)
* Query 14
SVEvJ xLr (1358)
xLr D (4114)
D ZGDe (3395)
ZGDe iGQw (9262)
* Query 15
nEiQ ZGDe (1830)
ZGDe D (3395)
* Query 16
nEiQ ZGDe (1830)
ZGDe D (3395)
D xLr (4114)
xLr SVEvJ (1358)
Case 21:
* Query 1
TvBlA pyr (2185)
pyr dqv (4892)
dqv yAuFMQCh (6072)
yAuFMQCh jSDwYkvwI (11296)
* Query 2
yqNUSfmdzK RhGzyypb (17240)
RhGzyypb dqv (2904)
dqv rsaGuKwz (8221)
rsaGuKwz jiUALPpJm (2438)
jiUALPpJm Uhb (6985)
Uhb dbWWlgNS (3324)
* Query 3
mYyjbLnw mufyoU (3664)
mufyoU crC (4720)
crC gyXUhxQQig (2318)
gyXUhxQQig rdQuifqFc (1183)
rdQuifqFc EJOsUP (4731)
EJOsUP JHOlSt (5035)
JHOlSt qUFyOAelV (7417)
qUFyOAelV dqv (9797)
dqv rsaGuKwz (8221)
rsaGuKwz jiUALPpJm (2438)
jiUALPpJm Uhb (6985)
Uhb JViYSFDr (11983)
JViYSFDr rXI (16294)
rXI J (16269)
* Query 4
yAuFMQCh dqv (6072)
dqv qUFyOAelV (9797)
qUFyOAelV JHOlSt (7417)
JHOlSt EJOsUP (5035)
EJOsUP rdQuifqFc (4731)
rdQuifqFc gyXUhxQQig (1183)
* Query 5
mYyjbLnw mufyoU (3664)
mufyoU crC (4720)
crC gyXUhxQQig (2318)
gyXUhxQQig rdQuifqFc (1183)
rdQuifqFc EJOsUP (4731)
* Query 6
gyXUhxQQig rdQuifqFc (1183)
* Query 7
Wr rdQuifqFc (7634)
rdQuifqFc gyXUhxQQig (1183)
gyXUhxQQig crC (2318)
crC UFWJavzMTg (3121)
UFWJavzMTg wDPDTd (18929)
* Query 8
yypQR oGTbGEDPx (2714)
oGTbGEDPx JHOlSt (13403)
JHOlSt qUFyOAelV (7417)
qUFyOAelV dqv (9797)
dqv pyr (4892)
pyr TvBlA (2185)
TvBlA sVqzGjX (8236)
sVqzGjX OvPcBbj (14115)
* Query 9
mLDgzozOJ rdQuifqFc (4837)
rdQuifqFc EJOsUP (4731)
EJOsUP JHOlSt (5035)
JHOlSt qUFyOAelV (7417)
qUFyOAelV dqv (9797)
dqv RhGzyypb (2904)
* Query 10
gyXUhxQQig rdQuifqFc (1183)
rdQuifqFc EJOsUP (4731)
EJOsUP JHOlSt (5035)
JHOlSt qUFyOAelV (7417)
* Query 11
JViYSFDr Uhb (11983)
Uhb jiUALPpJm (6985)
jiUALPpJm rsaGuKwz (2438)
rsaGuKwz dqv (8221)
dqv qUFyOAelV (9797)
qUFyOAelV JHOlSt (7417)
JHOlSt EJOsUP (5035)
EJOsUP rdQuifqFc (4731)
rdQuifqFc Wr (7634)
Case 22:
* Query 1
WszM yLrC (11339)
yLrC Ds (14592)
Ds tlqaRGWeW (2856)
tlqaRGWeW JMeSsctenV (22117)
JMeSsctenV taSJh (7322)
taSJh TfdgHpTPW (7318)
TfdgHpTPW ZjglHviJVa (347)
ZjglHviJVa R (11578)
R ZI (1069)
* Query 2
Q dg (14128)
dg NZFQz (12406)
NZFQz JoRpOgt (6699)
JoRpOgt NAGpOzE (5753)
NAGpOzE INE (13075)
INE GlLvPFUP (8883)
GlLvPFUP fnJFIBXtIt (4767)
fnJFIBXtIt APad (11824)
APad zOkWxhBlpn (8043)
zOkWxhBlpn eFbR (21891)
* Query 3
mzVR GlLvPFUP (13791)
GlLvPFUP INE (8883)
* Query 4
XsIaGWqutl tlqaRGWeW (22751)
tlqaRGWeW JMeSsctenV (22117)
JMeSsctenV taSJh (7322)
taSJh TfdgHpTPW (7318)
TfdgHpTPW eiLmbnxnj (4016)
* Query 5
ZI R (1069)
R ZjglHviJVa (11578)
ZjglHviJVa TfdgHpTPW (347)
TfdgHpTPW INE (2114)
INE GlLvPFUP (8883)
GlLvPFUP fnJFIBXtIt (4767)
fnJFIBXtIt APad (11824)
APad zOkWxhBlpn (8043)
zOkWxhBlpn eFbR (21891)
eFbR AlC (6164)
AlC fAtylODl (21247)
Case 23:
* Query 1
XTPO QxRYNdGClZ (59)
QxRYNdGClZ qd (5832)
qd zwS (6547)
zwS jnMoGU (4361)
* Query 2
DZAPHAZLsg oyC (6767)
oyC Pwss (6639)
* Query 3
Ywzu WkHSpXMNj (5839)
WkHSpXMNj XMIyj (5400)
XMIyj HZyqQZM (5392)
HZyqQZM HZ (3212)
HZ zwS (6163)
* Query 4
DZAPHAZLsg oyC (6767)
oyC Pwss (6639)
Pwss Mku (2529)
Mku y (1845)
y VqgdJnJoyj (7102)
VqgdJnJoyj s (7022)
s UmUvZzgcI (3187)
UmUvZzgcI zwS (609)
zwS jnMoGU (4361)
jnMoGU XmiiiNEyg (7057)
XmiiiNEyg WZSB (1849)
* Query 5
oyC Pwss (6639)
Pwss Mku (2529)
Mku y (1845)
y ws (800)
ws ugdPBg (4235)
* Query 6
XMIyj HZyqQZM (5392)
HZyqQZM HZ (3212)
HZ zwS (6163)
zwS UmUvZzgcI (609)
UmUvZzgcI s (3187)
s VqgdJnJoyj (7022)
VqgdJnJoyj y (7102)
y Mku (1845)
Mku Pwss (2529)
Pwss oyC (6639)
* Query 7
Ywzu WkHSpXMNj (5839)
WkHSpXMNj XMIyj (5400)
XMIyj HZyqQZM (5392)
HZyqQZM spyCp (6488)
* Query 8
Mku y (1845)
y VqgdJnJoyj (7102)
VqgdJnJoyj s (7022)
s UmUvZzgcI (3187)
UmUvZzgcI zwS (609)
zwS HZ (6163)
HZ HZyqQZM (3212)
HZyqQZM spyCp (6488)
* Query 9
XMIyj HZyqQZM (5392)
HZyqQZM HZ (3212)
HZ zwS (6163)
zwS UmUvZzgcI (609)
UmUvZzgcI s (3187)
s VqgdJnJoyj (7022)
VqgdJnJoyj y (7102)
y ws (800)
* Query 10
Cx WkHSpXMNj (511)
WkHSpXMNj XMIyj (5400)
XMIyj HZyqQZM (5392)
HZyqQZM HZ (3212)
HZ zwS (6163)
zwS UmUvZzgcI (609)
UmUvZzgcI s (3187)
s VqgdJnJoyj (7022)
VqgdJnJoyj y (7102)
* Query 11
gx Zib (2473)
Zib Mku (6840)
Mku y (1845)
y VqgdJnJoyj (7102)
VqgdJnJoyj s (7022)
s UmUvZzgcI (3187)
UmUvZzgcI zwS (609)
zwS HZ (6163)
* Query 12
zwS jnMoGU (4361)
jnMoGU XmiiiNEyg (7057)
* Query 13
UmUvZzgcI s (3187)
s VqgdJnJoyj (7022)
VqgdJnJoyj y (7102)
y Mku (1845)
Mku Pwss (2529)
Pwss oyC (6639)
* Query 14
gx Zib (2473)
Zib Mku (6840)
Mku y (1845)
y VqgdJnJoyj (7102)
VqgdJnJoyj s (7022)
s UmUvZzgcI (3187)
UmUvZzgcI zwS (609)
zwS jnMoGU (4361)
jnMoGU XmiiiNEyg (7057)
XmiiiNEyg WZSB (1849)
* Query 15
Cx WkHSpXMNj (511)
WkHSpXMNj Ywzu (5839)
* Query 16
Ywzu WkHSpXMNj (5839)
WkHSpXMNj dQNBT (1973)
* Query 17
spyCp HZyqQZM (6488)
HZyqQZM HZ (3212)
HZ zwS (6163)
zwS UmUvZzgcI (609)
UmUvZzgcI s (3187)
s VqgdJnJoyj (7022)
* Query 18
Mku y (1845)
y VqgdJnJoyj (7102)
VqgdJnJoyj JU (4851)
Case 24:
* Query 1
wSCyvPi DYmSXXud (423)
DYmSXXud DFWg (1062)
DFWg P (1776)
* Query 2
FGVj sPT (4632)
sPT SbM (808)
* Query 3
M pCKx (2795)
pCKx Mph (651)
Mph Iw (797)
Iw DYmSXXud (1981)
DYmSXXud wSCyvPi (423)
* Query 4
DYmSXXud DFWg (1062)
DFWg z (2728)
z cut (2352)
Case 25:
* Query 1
rgRXORgkc ppbAFEWv (3459)
ppbAFEWv Xvp (9573)
Xvp oFasrj (8352)
oFasrj M (10789)
M PgR (10425)
PgR GTeWsKGx (19073)
* Query 2
MbReZAA g (177)
g wCRNwGTQ (475)
wCRNwGTQ QoQTSM (15528)
QoQTSM cQPJZu (1924)
cQPJZu wx (16501)
wx oFasrj (4045)
oFasrj Xvp (8352)
Xvp ppbAFEWv (9573)
ppbAFEWv rgRXORgkc (3459)
rgRXORgkc fJLe (12015)
* Query 3
Zp QoQTSM (20684)
QoQTSM cQPJZu (1924)
* Query 4
yWloA zgKRfSd (19728)
zgKRfSd xHTgjjct (12304)
xHTgjjct aqAHywM (12260)
aqAHywM fNvHl (14428)
fNvHl cQPJZu (14854)
cQPJZu QoQTSM (1924)
QoQTSM kUcHyNmy (8228)
kUcHyNmy uHcGZaEJ (5619)
* Query 5
rgRXORgkc ppbAFEWv (3459)
ppbAFEWv Xvp (9573)
Xvp oFasrj (8352)
oFasrj wx (4045)
wx cQPJZu (16501)
cQPJZu QoQTSM (1924)
QoQTSM kUcHyNmy (8228)
kUcHyNmy uHcGZaEJ (5619)
uHcGZaEJ xRODqxz (2134)
xRODqxz EsHyHi (12334)
EsHyHi xhbfDTeOUT (2962)
xhbfDTeOUT ZG (12299)
ZG QNHVVL (1034)
QNHVVL f (15425)
f mpqpD (8207)
mpqpD OqsKrviw (16521)
* Query 6
PNL uqnSEiP (15570)
uqnSEiP p (15130)
p jYKsObim (8985)
jYKsObim JVwUBFkTM (8032)
JVwUBFkTM mhkWinoJ (1861)
mhkWinoJ QNHVVL (6980)
QNHVVL ZG (1034)
ZG xhbfDTeOUT (12299)
xhbfDTeOUT EsHyHi (2962)
EsHyHi xRODqxz (12334)
xRODqxz uHcGZaEJ (2134)
uHcGZaEJ kUcHyNmy (5619)
kUcHyNmy QoQTSM (8228)
QoQTSM cQPJZu (1924)
cQPJZu wx (16501)
wx oFasrj (4045)
oFasrj M (10789)
* Query 7
jZ hpvRyqJe (10080)
hpvRyqJe xRODqxz (11469)
xRODqxz biHdhwB (15739)
* Query 8
jainWOXr Xvrrb (35066)
Xvrrb P (11023)
P jYKsObim (2510)
jYKsObim p (8985)
p uqnSEiP (15130)
uqnSEiP PNL (15570)
* Query 9
UeI bvuvgYP (1500)
bvuvgYP HKhF (4009)
HKhF uHcGZaEJ (8201)
uHcGZaEJ xRODqxz (2134)
xRODqxz GUEtATeyS (15240)
* Query 10
MbReZAA g (177)
g wCRNwGTQ (475)
wCRNwGTQ QoQTSM (15528)
QoQTSM cQPJZu (1924)
cQPJZu wx (16501)
wx oFasrj (4045)
oFasrj M (10789)
* Query 11
iB P (8011)
* Query 12
TxvtFs biHdhwB (1094)
biHdhwB xRODqxz (15739)
xRODqxz EsHyHi (12334)
EsHyHi xhbfDTeOUT (2962)
xhbfDTeOUT ZG (12299)
ZG QNHVVL (1034)
QNHVVL mhkWinoJ (6980)
mhkWinoJ BQgsSUi (23443)
* Query 13
jYKsObim JVwUBFkTM (8032)
JVwUBFkTM mhkWinoJ (1861)
mhkWinoJ BQgsSUi (23443)
